game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
518790,"5,000,000 .. 10,000,000",1604,742,323,938,,,1999.0,1999.0,0.0,2207,
2835570,"2,000,000 .. 5,000,000",174,72,116,74,,,299.0,299.0,0.0,793,
304240,"1,000,000 .. 2,000,000",507,450,183,562,,,499.0,1999.0,75.0,186,
3092660,"0 .. 20,000",1034,369,434,650,,,,,,0,
1248130,"2,000,000 .. 5,000,000",9134,446,2647,281,,,2999.0,2999.0,0.0,5419,
581320,"2,000,000 .. 5,000,000",2445,159,710,67,,,989.0,2999.0,67.0,1826,
246620,"1,000,000 .. 2,000,000",589,118,285,109,,,374.0,1499.0,75.0,1494,
1448440,"1,000,000 .. 2,000,000",1975,141,1695,141,,,3999.0,3999.0,0.0,151,
243470,"1,000,000 .. 2,000,000",1167,35,629,35,,,499.0,1999.0,75.0,388,
1150690,"1,000,000 .. 2,000,000",1894,90,912,118,,,1999.0,1999.0,0.0,506,
673610,"500,000 .. 1,000,000",2195,234,1166,234,,,2499.0,2499.0,0.0,182,
250900,"5,000,000 .. 10,000,000",11800,592,3967,178,,,1499.0,1499.0,0.0,14904,
322170,"5,000,000 .. 10,000,000",5172,194,521,37,,,499.0,499.0,0.0,27850,
3430450,"0 .. 20,000",82,82,82,82,,,1199.0,1499.0,20.0,0,
1244460,"1,000,000 .. 2,000,000",1493,183,372,49,,,5999.0,5999.0,0.0,1413,
209000,"2,000,000 .. 5,000,000",998,380,544,482,,,399.0,1999.0,80.0,616,
1259420,"2,000,000 .. 5,000,000",1760,522,930,848,,,3999.0,3999.0,0.0,1600,
1934570,"50,000 .. 100,000",336,0,486,0,,,3199.0,3999.0,20.0,82,
2172010,"50,000 .. 100,000",666,62,746,62,,,5999.0,5999.0,0.0,85,
945360,"20,000,000 .. 50,000,000",1359,74,682,57,,,299.0,499.0,40.0,3832,
395180,"0 .. 20,000",0,0,0,0,,,2499.0,2499.0,0.0,0,
2417610,"0 .. 20,000",0,0,0,0,,,6999.0,6999.0,0.0,0,
703080,"2,000,000 .. 5,000,000",2140,211,414,212,,,4499.0,4499.0,0.0,2497,
264710,"5,000,000 .. 10,000,000",1953,295,980,335,,,2999.0,2999.0,0.0,2719,
570940,"2,000,000 .. 5,000,000",2570,349,1739,229,,,3999.0,3999.0,0.0,2879,
645390,"0 .. 20,000",0,0,0,0,,,3500.0,3500.0,0.0,0,
3144890,"0 .. 20,000",0,0,0,0,,,1499.0,1499.0,0.0,0,
3242750,"0 .. 20,000",59,0,59,0,,,699.0,699.0,0.0,46,
2294660,"200,000 .. 500,000",1435,1346,205,1990,,,199.0,1999.0,90.0,669,
